Num,Ara,Eng
218,وفقيهها,jurisconsult
219,وامامها,imam
220,بلا,without
221,مدافع,question
222,كان,he was
223,من,of
224,خيار,the best
225,عباد,creatures
226,الله,of God
227,الصالحين,among the saints
228,العارفين,scholars
229,به,in God
230,ذا,he had
231,تثبّت,firmness
232,عظيم,energetic
233,في,in
234,الامور,things
235,وهدى,orthodoxy
236,تامّ,perfect
237,وسكون,calmness
238,ووقار,dignity
239,وجلالة,majesty
240,اشتهر,were famous
241,علمه,his knowledge
242,وصلاحه,and virtues
243,في,in
244,البلاد,the country
245,وطار,had spread
246,صيته,his fame
247,في,to
248,الاقطار,the lands
249,شرقاً,east
250,وغرباً,west
251,وجنوباً,south
252,وشمالاً,and north
253,وظهرت,were manifested
254,بركته,the gifts of heaven
255,الى,in
256,ديانة,piety
257,واصلاح,virtues
258,وزهد,asceticism
259,ونزاهة,cheerfulness
260,لا,not
261,يخاف,he was […] afraid of
262,فى,when it came to
263,الله,God
264,لومة,criticism
265,لائم,0
266,هابته,he was respected
267,الخلق,0
268,كلّهم,by all
269,السلطان,the Sultan
270,فمن دونه,as well as the lesser personages 
271,فصاروا,were
272,تحت امره,at his command
273,يزورونه,they visited him
274,في,in
275,داره,his house
276,متبرّكين به,and asked his blessing
277,فلا,without
278,يلتفت,his bothering
279,اليهم,them
280,ويهادونه بالهدايا,brought him money 
281,والتحف,and gifts
282,تترى,0
283,وكان,he was
284,سخيًّا,liberal
285,جواداً,generous
286,ولى القضاء,He was appointed cadi 
287,عام,in the year
288,أربعة وتسعمائة,904
289,فسدّد,he rendered justice
290,في,in
291,الامور,matters
292,وشدّد,being energetic
293,وتوخّى,in favour of
294,الحقّ,the right
295,ولذوى,those who were
296,الباطل,wrong
297,هدّد,threatening
298,فاشتهر,was […] famous
299,عدله,his justice
300,بحيث,so […] that
301,لا يعرف,no one was known
302,له,him
303,نظير,to rival
304,فى,at
305,وقته,that time
306,مع,0
307,ملازمة,0
308,التدريس,teacher
309,وللفقه,the law
310,من,in
311,فيه,his mouth
312,حلاوة,gentle
313,وطلاوة,easy
314,سهل,easy
315,العبارة,to understand
316,حسن,quick
317,التقريب,to assimilate
318,فلا,and […] no
319,يتكلّف,imposing fatigue
320,فانتفع,benefitted
321,به,from
322,كثيرون,many people
323,وحيّ,was alive 
324,العلم,science
325,ببلاده,in his country
326,وكثر,more
327,طلبة,students
328,الفقه,of law
329,ونجب,distinguished themselves 
330,جماعة,many
331,منهم,of them
332,فصاروا,and became
333,علماء,scholars
334,واكثر,0
335,ما,that
336,يقرئ,he made […] study
337,المدوّنة,Modaouana
338,والرسالة,the Risala 
339,ومختصر,the Mokhtasar 
340,خليل,of Khelil
341,والالفيّة,the Alfiya 
342,والسلالحيّة,the Seláldjiya
343,وعنه انتشر,he was the propagator
344,اقراء,0
345,خليل,of Khelil
346,هنالك,0
347,وقيّد,covered
348,عنه,0
349,تقائيد,with annotations
350,عليه,0
351,أبرزها,published
352,بعضهم,one of
353,شرحاً,a commentary
354,في,in
355,سفرين,two volumes
356,وحجّ,He made the pilgrimage to Mecca 
357,عام,in the year
358,خمسة عشر وتسعمائة,915
359,فلقى,and was in contact
360,السادة,such masters 
361,كابراهيم المقدّسيّ,Ibrahim-El-Moqadessi
362,والشيخ,Sheikh 
363,زكرياء,Zakariya
364,والقلقشنديّ,El-Qalqachandi 
365,من,0
366,الصحاب,disciples
367,ابن حجر,Ibn-Hadjar
368,واللقانيّبن,the two El-Laqqâni 
369,وغيرهم,and others
370,وعرف,he made […] appreciated
371,صلاحه,his merits
372,ثمّه,0
373,ورجع,He returned 
374,لبلاده,to his country
375,ولازم,he applied himself 
376,الافادة,to make himself useful
377,وانفاذ,to make […] triumph
378,الحقّ,the right
379,وطال,was long
380,عمره,his life
381,فالحق,he knew
382,الابناء,sons
383,الاباء,fathers 
384,درّس,he taught
385,نحو,for about
386,خمسين,fifty
387,سنة,years
388,حتّى,until
389,توفّى,his death
390,سنة,0
391,خمس وخمسين,955
392,ليلة الجمعة,Thursday evening
393,سادس عشر,the 16th
394,رمضان,Ramadan
395,وبلغ,he attained
396,من,of
397,الجلالة,fame
398,وتعظّم,and enjoyed a very high reputation
399,الناس,0
400,له,0
401,وشهرة,the fame
402,الذكر,0
403,بالصلاح,of his virtues
404,مبلغاً,reached a point
405,لم,no one else
406,ينله,reached
407,غيره,no one else
408,وولد,he was born
409,سنة,in the year
410,ثمان وستّين وثمانمائة,868
411,اخذ عنه,he was the teacher of
412,والدى,my father
413,رحمه,have mercy on him
414,الله,God
415,واولاده,of his children
416,الثلاثة,three
417,القضاة,the cadis
418,محمّد,Mohammed
419,والعاقب,El-'Aqib 
420,وعمر,and 'Omar 
421,"وغيرهم،",and […] others
422,مخلوف بن على بن صالح البلباليّ,Makhlouf-ben-'Ali-ben-Sâlih-El-Belbâli
423,فقيه,a jurisconsult 
424,حافظ رحلة,a geographer 
425,اشتغل,start
426,بالعلم,studying
427,على كبر,until he was very old
428,على ما قيل,it is said 
429,فاوّل,the first
430,شيوخه,of his teachers
431,سيّدى,Sidi
432,العبد,0
433,الصالح,the virtuous
434,عبد الله بن عمر بن محمّد اقيت,Abdallah-ben-'Omar-ben Mohammed-Aqît
435,شقيق,brother
436,جدّى,my grandfather 
437,بولاتن,in Oualâten
438,قرأ,he studied
439,عليه,0
440,الرسالة,Risâla
441,ورأى,saw
442,منه,0
443,نجابة,great dispositions 
444,فحضّه,and encouraged him 
445,على العلم,to continue his studies
446,فرغب,Full of enthusiasm
447,فيه,0
448,وسافر,he left
449,للغرب,for Morocco
450,فاخذ,he studied
451,عن,under
452,ابن غازى,Ibn-Ghazi 
453,وغيره,and others
454,واشتهر,he was famous
455,بقوّة,for the power
456,الحافظة,of his memory
457,حتّى,0
458,ذكر,are said
459,عنه,0
460,العجب,astonishing things
461,في,in
462,ذلك,this regard
463,ودخل,he travelled
464,بلاد,0
465,السودان,the Sudan
466,ككَنُزْ,to Kano
467,وكشن,Kachena
468,وغيرهما,etc.
469,واقراً,and taught
470,هناك,in these […] places
471,وجرى له ابحاث,had discussions
472,في,about
473,نوازل,trials 
474,مع,with
475,الفقيه,the jurisconsult
476,العاقب الانصمنيّ,El-Aqib-El-Ansamanni
477,ثمّ,then
478,دخل,he went to
479,تنبكت,Timbuktu
480,واقرأ,he […] taught
481,بها,where
482,ثمّ,then
483,رجع,He returned 
484,للغرب,to Morocco
485,فدرّس,and taught
486,بمرّاكش,in […] Merrâkech
487,وسُمَّ,he was poisoned
488,هناك,in this city
489,فمرض,fell ill
490,فرجع,and returned
491,لبلده,to his homeland 
492,وتوفّى,and died
493,بعد,after
494,الاربعين وتسعمائة,940
495,محمّد بن احمد بن ابي محمّد التازختيّ,Mohammed-ben-Ahmed-ben-'Abou-Mohammed-Et-Tazakhti
496,عرف,known
497,بأَيْدَ احمد,as Aïda-Ahmed
498,بهمزة,with a hamza
499,مفتوحة,accompanied by an a
500,وياء,a ya
501,ساكنة,without vowels
502,فدال,a dal
503,مفتوحة,with a vowel
504,مضاف,related
505,لاسم,to the name
506,احمد,Ahmed 
507,معناه,and means
508,ابن,son
509,كان,he was
510,فقيهاً,a jurisconsult 
511,عالماً,a theologian
512,فهّاماً,a very wise
513,محدّثاً,a traditionalist
514,متفنّناً4,learned man
515,محصّلاً جيّد الخطّ,an excellent calligrapher
516,حسن الفهم,with his lively intelligence
517,كثير,very
518,المنازعة,inclined to discussion
519,فرأَ,he studied
520,بلاده,in his country 
521,على,under
522,جدّى,my grandfather 
523,الفقيه,the jurisconsult 
524,الحاجّ احمد بن عمر,El-Hâdj-Ahmed-ben-'Omar
525,وعلى,and under
526,خاله,his maternal uncle
527,الفقيه,the jurisconsult 
528,علي,'Ali
529,وحصّل,and he became a scholar
530,ولقى,he met 
531,بتَكْدَة,At Takeda 
532,الامام,Imam
533,المغيليّ,El-Moghili 
534,وحضر,and attended
535,دروسه,his classes
536,ثمّ,then
537,رحل,he went
538,لاشرق,to the East
539,صحبة,in company with
540,سيّدنا,Sidi
541,الفقيه,the jurisconsult 
542,محمود,Mahmud 
543,فلقى,enter into relations with 
544,اجلّاء,illustrious 
545,كشيخ الاسلام,such as the sheikh-el-islam 
546,زكرياء,Zakariya
547,والبرهانين,the dialectician 
548,القلقشنديّ,El-Qalqachandi
549,وابن ابي شريف,Ibn-'Abou-Shérif
550,وعبد الحقّ السنباطيّ,Abdelhaq-Es-Soubâți 
551,وجماعة,and many others
552,فاخذ,He took 
553,عنهم,from them
554,علم,lessons
555,الحديث,in hadith
556,وسمع,listened
557,وروى,oral teaching 
558,وحصّل,0
559,واجتهد,he profited 
560,حتّى,that
561,تميّز,he was […] distinguished 
562,في,in
563,الفنون,matters
564,وصار من المحدثّين,deserved the title of traditionist
565,وحضر,he attended
566,درس,the classes
567,الاخوين,of the two brothers 
568,اللقانيّين,El-Laqqâni 
569,وتصاحب,and became friends 
570,مع,with
571,احمد ابن محمّد ,Ahmed-ben-Mohammed 
572,وعبد الحق السنباطيّ ,and Abdelhaqq-Es-Soubâți
573,واجازه,he received diplomas 
574,من,in
575,مكّة,Mecca
576,ابو,the father 
577,البركات,of the blessings 
578,النويريّ,En-Nuairi
579,وابن عمّته,the latter's paternal cousin 
580,عبد القادر,Abdelqader
581,وعلي بن ناصر الحجازيّ,Ali-ben-Naser-El-Hidjâzi
582,وابو الطيّب البستيّ,Abu-'t-Tayyeb-El-Bosţi 
583,وغيرهم,and others
584,ثمّ,then
585,رجع,he […] returned
586,لبلاد السودان,to the Sudan 
587,وتوطّن,and settled in
588,كشن,Kachena
589,فأكرمه,treated him with respect 
590,صاحبها,whose Sultan
591,وولّاه,entrusted him 
592,قضاءها,the duties of cadi
593,وتوفّى,he died
594,في,0
595,حدود,0
596,ستّ وثلاثين وتسعمائة,936
597,عن نيف,around
598,وستّين,60
599,سنة له,aged
600,تقييد,annotations
601,وطرر,and marginal notes 
602,على,on
603,مختصر,Mokhtasar 
604,الشيخ,of Sheikh
605,"خليل،",Khelil 
606,محمّد بن محمود بن عمر بن محمّد اقيت بن عمر بن علي بن يحي,Mohammed-ben-Mahmoud-ben-'Omar-ben-Mohammed-Aqît-ben-'Omar-ben-'Ali-ben-Yahya
607,الصنهاجيّ,the Senhadjian
608,قاضى,cadi
609,تنبكت,of Timbuktu
610,كان,he was
611,فقيهاً,a […] jurisconsult
612,فهّاماً,intelligent 
613,درّاكاً,sagacious 
614,ثاقب,keen
615,الذهن,mind
616,من,one of
617,عقلاء,the most sensible 
618,الناس,men
619,ودهانهم,and wise
620,ولّى,he succeeded
621,القضاء,the office of cadi
622,بعد,0
623,ابيه,his father
624,فساعدته,He had a very good fortune
625,الدنيا,0
626,فنال,he obtained 
627,ما,all the
628,شاء,he desired
629,من,0
630,دولة,0
631,ورياسة,honours
632,وحصل,and amassed
633,له,0
634,دنيا,property
635,عريضة,considerable
636,شرح,He made a commentary on 
637,رجز,the poem in redjez 
638,المغيليّ,of El-Moghili 
639,في,on
640,المنطق,logic
641,اخذ,studied
642,عنه,under him
643,والدى,my father
644,البيان,rhetoric
645,والمنطق,and logic
646,وتوفّى,he died
647,في,intelligent 
648,صفر,Safar 
649,سنة,of the year
650,ثلاث وسبعين وتسعمائة,973
651,مولوده,he was born
652,عام,0
653,"تسعة وتسعمائة،",909
654,العاقب بن محمود بن عمر بن محمّد اقيت بن عمر بن علي بن يحي,El-Agîb-ben-Mahmoud-ben-'Omar-ben-Mohammed-Aqît-ben-'Omar-ben-'Ali-ben-Yahya
655,الصنهاجيّ,the Senhadjian
656,قاضى,cadi
657,تنبكت,of Timbuktu
658,كان,0
659,رحمه,0
660,الله,0
661,مسدّداً,he rendered justly
662,في,0
663,احكامه,judgements
664,ثبتاً,was firm
665,فيها,0
666,صليباً,0
667,في,in
668,الحقّ,law
669,لا,did not
670,تأخذه,fear
671,في,when it came to
672,الله,God
673,لومة,criticism
674,لائم,any
675,قوىّ القلب,energetic
676,جدًّا,very
677,مقداماً,enterprising 
678,في,in
679,الامور,the matters
680,النظام,0
681,التى,0
682,يتوقّف,he dealt
683,فيها,with
684,جسوراً على,resisted
685,السلطان,the Sultan
686,فمن دونه,as well as others
687,لا يبالى,took no notice of
688,بهم,their observations
689,ووقع له,he had
690,معهم,in this connection
691,وقائع,adventures
692,وكانوا يخضعون,humbled themselves
693,له,before him
694,ويهابونه,feared him
695,ويطاوعونه,and obeyed 
696,فيما,everything
697,يريد,he wanted
698,اذا,when
699,راى,he saw
700,ما,something
701,يكره,he didn't like
702,عزل نفسه,he withdrew 
703,وسّد,closed
704,بابه,his door
705,فيلاطفونه,it was necessary to be very careful 
706,حتّى,until
707,يرجع,he came back
708,وقع,this happened
709,له,0
710,مراراً,frequently
711,ذا,gifted with
712,بصيرة,foresight
713,نافذة,great
714,في,in
715,الامور,business
716,لا,never
717,يخطئ,in doubt
718,فراسته,his perspicacity 
719,كانّه,as if 
720,ينظر,he could see 
721,في,into
722,الغيب,the future
723,موسعاً,fortune
724,عليه,his
725,في,0
726,دنياه,0
727,مجدوداً,happy 
728,في,in
729,أموره,his undertakings
730,مع,0
731,التحرّى,considered
732,والتوقّى,feared
733,مهيباً,respected
734,جدًّا,highly
735,اخذ,He took 
736,عن,from
737,ابيه,his father
738,وعمّه,and his paternal uncle
739,رحل,0
740,وحجّ,He made the pilgrimage to Mecca 
741,ولقى,and […] saw
742,الناصر اللقانيّ,En-Nâsir-El-Laqqâni
743,وابا الحسن البكريّ,'Abu'-l-Hasen-El-Bekri
744,والشيخ,Shiekh
745,البشكريّ,El-Baikouri' 
746,وطبقتهم,and their colleagues
747,اجازه,He was given diplomas 
748,اللقانيّ,El-Laqqâni 
749,كلّ ما,on all
750,يجوز له,he taught
751,وعنه,from his own sources 
752,واجازنى,He issued me with […] diplomas 
753,هو,0
754,كذلك,the same
755,وكتب,written
756,لى,0
757,خطّه,with his own hand
758,بذلك,0
759,ولد,he was born
760,عام,0
761,ثلاثة عشر وتسعمائة,913
762,وتوفّى,and died 
763,في,in
764,رجب,Redjeb
765,عام,in the year
766,"احد وتسعين،",991
767,العاقب ابن عبد الله الانصمنيّ,El-'Aqît-ben-Abdallah-El-Ansammani
768,المسوفيّ,the Messoufite
769,من اهل,native of
770,تكدة,Takeda
771,قرية,a village
772,عمرها,populated by 
773,صنهاجية,Senhadjians 
774,قرب,near
775,السودان,the Sudan
776,فقيه,a […] jurisconsult
777,نبيه,wise
778,ذكيّ الفهم,keen intellect 
779,وقّاد الذهن,and a sharp mind
780,مشتغل,he devoted himself 
781,بالعلم,to science
782,في,0
783,لسانه,tongue
784,ذراية,sharp
785,له,0
786,تعاليق,annotations
787,من احسنها,the most remarkable of which 
788,كلامه,0
789,على,on
790,قول,the words
791,خليل,of Khelil
792,وخصصت,be specified
793,نيّة,the intention
794,الحالف,of the one who swears 
795,حسن,0
796,مفيد,0
797,لخصّته,0
798,مع,adding
799,كلام,quotations
800,غيره,from other authors
801,في,into
802,جزء,a volume
803,سمّيته,to which I have given the title
804,تنبيه,Tenbih 
805,الواقف,el-oudgif 
806,على,ala
807,تحرير,tahrir 
808,خصصت,khossiset 
809,نيّة,niyatou 
810,الحالف,'l-halif
811,وله,he also published
812,جزء,a treatise
813,في,on
814,وجوب,the oblication
815,الجعة,of the Friday prayer 
816,بقرية,in the village
817,انصمن,of Ansammani
818,خالف,contrary 
819,فيه,0
820,غيره,the opinion of other authors
821,والصواب معه,he was right
822,والجواب,El-djaouab 
823,المجدود,el-medjdoud 
824,عن,an
825,اسئلة,as'ilat 
826,القاضى,elqadi 
827,محمّد بن محمود,Mohammed-ben-Mahmoud 
828,واجوبة,and Adjouibat 
829,الفقير,el-faqir 
830,عن,an
831,اسئلة,as'ilat 
832,الامير,el-émir
833,اجاب,in response to 
834,فيها,0
835,اسكيا الحاجّ محمّد,Askia-El-Hâdj-Mohammed
836,وغيرها,and other works
837,اخذ,he received lessons
838,عن,from
839,المغيليّ,El-Moghili
840,والجلال السيوطيّ,El-Djelâl-Es-Soyouti 
841,وغيرهما,and other teachers
842,ووقع له,he had
843,نزاع,a discussion
844,مع,with
845,الحافظ,the hafid 
846,مخلوف,0
847,الباباليّ,El-Belbâli 
848,في,on
849,مسائل,issues
850,كان,he was
851,حياًّ,living
852,قرب,around
853,"الخمسين وتسعمائة،",950
854,ابو بكر بن احمد بن عمر بن محمّد اقيت,'Abu-Bekr-ben-Ahmed-Bîr-ben-'Omar-ben-Mohammed-Aqît
855,تمبكتيّ,Timbuktu 
856,المولد,by birth
857,تزيل,he fixed his residence 
858,المدينة,Medina
859,المشرّفة,the noble city 
860,عمى,my paternal uncle
861,كان,he was
862,خيراً,a good man
863,صيّتاً,with a beautiful voice
864,ورعاً,reserved
865,زاهداً,ascetic
866,تقيًّا,pious
867,اوّاهاً,God-fearing
868,وليًّا,saint
869,مباركاً,blessed
870,معروف,known
871,الصلاح,his virtues
872,ظاهر,obvious
873,الزهد,piety
874,والورع,reserve
875,والبرّ,kindness
876,متين,strong
877,الدين,faith
878,كثير,0
879,الصدقة,almsgiving
880,والعطاء,and good deeds
881,قلّ أن,rarely
882,يمسك,kept […] back
883,شياً,anything
884,مع,despite 
885,قلّة,limited
886,ذات يده,his […] resources
887,مبرزاً,incomparable ardor 
888,في,for
889,الخير,good
890,لا,0
891,نظير,0
892,له,0
893,نشا,0
894,على,0
895,ذلك,0
896,حجّ,He made the pilgrimage to Mecca 
897,وجاور,and frequented the holy places
898,ثمّ,then
899,آب,returned
900,لبلاده,to his country 
901,لاجل,because of 
902,اولاده,his children
903,فاخذهم,whom he brought back 
904,ورجع,0
905,وحجّ,making the pilgrimage 
906,وسكن,he settled 
907,المدنية,in Medina
908,حتّى,until
909,مات,his death
910,فاتح,at the beginning of 
911,احدى وتسعين وتسعمائة,991
912,ولد,he was born
913,عام,0
914,اثنين وثلاثين,932
915,وهو,he
916,اوّل,first
917,من,0
918,قرات عليه,was my […] teacher
919,علم النحو,syntax
920,فلت,I made […] progress
921,بركته,the divine protection 
922,ففتح لى فيه,I became a master of this
923,في,in
924,مدّة,a time
925,قريبة,short
926,بلا,without
927,عناء,effort
928,له,he had
929,احوال,moments
930,جليلة,glorious
931,كثير,Always
932,الخوف,fearful
933,والمراقبة,attentive to please 
934,الله,God
935,ونصح,he gave […] advice
936,عباده,to men
937,يردف,incessantly
938,زفرة,sobbed
939,بعد,0
940,اخرى,0
941,رطب,moistened
942,اللسان,tongu
943,بالتهليل,to praise 
944,وذكر,and mentioned
945,الله,God
946,على الدوام,often
947,كثير,very
948,الانشراح,open
949,مع,with
950,الناس,everyone
951,من,one of
952,خيار,the best
953,صالحى,saints
954,العباد,on earth
955,رفض,he spurned
956,الدنيا,fortune
957,وزهد,and deprived himself
958,فى,of
959,زهراتها,its glitter
960,مع ما,though
961,لاهل بيته,he belonged to a family 
962,حينئذ,0
963,من,0
964,عظيم,high
965,الجاه,regard
966,ما,never
967,رايت,I have […] seen
968,قطّ,never
969,مثله,his like
970,ولا,nor
971,من,anyone
972,يقرب,approaching
973,منه,0
974,في,in
975,حاله,his merits
976,تواليف,he left
977,لطاف,small treatises
978,في,on
979,التصوّف,Sufism
980,"وغيره،",and other subjects
981,احمد بن احمد بن عمر بن محمّد اقيت بن عمر بن علي بن يحي,Ahmed-ben-Ahmed-ben-'Omar-ben-Mohammed-Aqît-ben-'Omar-ben-'Ali-ben-Yahya
982,والدى,my father
983,الفقيه,jurisconsult
984,العالم,theologian
985,بن,son of
986,الفقيه,jurisconsult 
987,العالم,theologian
988,كان,he was
989,ذكيَّا,fine 
990,درّاكاً,sagacious mind
991,متفنّناً,scholar
992,محدّثاً,traditionalist
993,اصوليًّا,theory of law
994,بيانيًّا,rhetoric
995,منطقيًّا,logic
996,مشاركاً,everything
997,وكان,and was
998,رقيق,sensitive
999,القلب,heart
1000,عظيم,highly
1001,الجاه,esteemed
1002,وافر,0
1003,الحرمة,respected
1004,عند,by
1005,الملوك,the princes
1006,وكافّة الناس,and the whole world
1007,نفاعاً,using
1008,بجاهه,his influence 
1009,لا,never
1010,يردّ,was […] rejected
1011,له,0
1012,شفاعة,0
1013,يغلظ,he was firm
1014,على,with
1015,الملوك,kings
1016,فمن دونهم,as well as with others
1017,وينقادون,had […] respect
1018,له,for him
1019,اعظم,deepest
1020,الانقياد,respect
1021,ويزورونه,he was visited
1022,في,at
1023,داره,home
1024,ولمّا,and when
1025,مرض,he fell ill
1026,فى,at
1027,كاغ,Kâgho
1028,في,on
1029,بعض,one of
1030,السفاره,his journeys
1031,كان,0
1032,السلطان,Sultan
1033,الاعظم,the great
1034,اسكيا داوود,Askia-Daoud
1035,ياتى,came
1036,اليه,to […] him
1037,بالليل,every night
1038,فيسهر,0
1039,عنده,with him 
1040,حتّى,until
1041,برء,he was well
1042,ويسمر,converse
1043,عنده,with him
1044,تعظيماً,0
1045,لقدره,0
1046,وكان,were
1047,مشهور,famous
1048,القدر,power
1049,والجلالة,and glory
1050,وافر,0
1051,الجاه,his authority
1052,بحيث,so great
1053,لا,no one
1054,يعارض,dared to resist
1055,محبًّا,he loved
1056,في,0
1057,اهل,people
1058,الخير,good
1059,متواضعاً,was humble
1060,لهم,with them
1061,لا,never
1062,ينطوى,0
1063,على,0
1064,حقد,hating
1065,لاحد,anyone
1066,منصفاً,doing justice 
1067,للناس,to all
1068,جمّاعاً,He was a lover 
1069,للكتب,of books
1070,وافر,well-stocked
1071,الخزانة,library
1072,محتوية,contained
1073,على,0
1074,كلّ,all
1075,علق,rare
1076,نفيس,precious
1077,سموحاً,willingly
1078,باعارتها,lent them out
1079,اخذ,He had taken lessons
1080,عن,from
1081,عمّه,his paternal uncle
1082,بركة,the blessing
1083,العصر,of that time
1084,محمود ابن عمر,Mahmud-ben-'Omar
1085,وغيره,and […] other
1086,ورحل,he travelled
1087,للشرق,to the east
1088,سنة,in the year
1089,ستّ وخمسين,956
1090,فحجّ,he made the pilgrimage to Mecca 
